project,key,type,severity,rule,rule_name,file,line,message,effort,tags
Lynx,640886d0-05b6-4cfb-9903-4f01e516ff10,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/MakeUnmakeMove_implementation_Benchmark.cs,1654,Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.,6min,brain-overload
Lynx,0807d4d0-d06a-4230-907c-fadca9b666ff,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/MakeUnmakeMove_integration_Benchmark.cs,1432,Refactor this method to reduce its Cognitive Complexity from 32 to the 15 allowed.,6min,brain-overload
Lynx,c67346f0-5c23-4a08-8e95-690e199f3b2f,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/MakeUnmakeMove_integration_Benchmark.cs,1524,Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.,6min,brain-overload
Lynx,72875c31-17e6-4914-9816-d86beffefb38,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/GoCommandParsing_GeneratedAttribute_Benchmark.cs,152,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,6min,brain-overload
Lynx,fa8e5b18-ef02-400e-8393-9f1979082ccc,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/GoCommandParsing_GeneratedAttribute_Benchmark.cs,250,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,6min,brain-overload
Lynx,a4be830c-c5a0-4231-b703-240179eacae0,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.ConstantsGenerator/MagicNumberGenerator.cs,39,Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed.,6min,brain-overload
Lynx,6cdbf367-9d92-4ae6-a8e2-d80954c29332,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/MoveGeneratorParallel_Benchmark.cs,196,Refactor this method to reduce its Cognitive Complexity from 32 to the 15 allowed.,6min,brain-overload
Lynx,5d545c35-e450-4514-a773-870895bb8bbe,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/MoveGeneratorParallel_Benchmark.cs,281,Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.,6min,brain-overload
Lynx,85a6078c-3f19-47c3-91bd-9fdc0415c5de,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/FENGeneration_Benchmark.cs,592,Refactor this method to reduce its Cognitive Complexity from 31 to the 15 allowed.,6min,brain-overload
Lynx,82e32d74-c476-4e97-8c05-2bac8398f887,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/FENGeneration_Benchmark.cs,933,Refactor this method to reduce its Cognitive Complexity from 31 to the 15 allowed.,6min,brain-overload
Lynx,e93dcaf9-8d88-42ac-b6b7-48165fc70471,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/FENGeneration_Benchmark.cs,1279,Refactor this method to reduce its Cognitive Complexity from 31 to the 15 allowed.,6min,brain-overload
Lynx,2aac1cae-4176-483b-9e08-2fd308abff51,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/FENGeneration_Benchmark.cs,1625,Refactor this method to reduce its Cognitive Complexity from 31 to the 15 allowed.,6min,brain-overload
Lynx,db1d0b90-eab6-45ad-a8d8-f77c937eba47,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/FENGeneration_Benchmark.cs,2068,Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.,6min,brain-overload
Lynx,ba5bdb71-4bea-494d-9e0a-d21b63a1cccf,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/FENGeneration_Benchmark.cs,2167,Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.,6min,brain-overload
Lynx,479e46d5-373a-4af0-a274-6089726ccfc5,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/FENGeneration_Benchmark.cs,2266,Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.,6min,brain-overload
Lynx,c52c23ec-3182-4660-8397-7d53f2eb9c7f,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/FENGeneration_Benchmark.cs,2365,Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.,6min,brain-overload
Lynx,cd9da3fa-b9f5-48e6-bd33-7b18b03f9f40,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/FENGeneration_Benchmark.cs,2464,Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.,6min,brain-overload
Lynx,b6487ea2-4fc1-4e2b-9a7a-07bde60750c8,CODE_SMELL,MINOR,csharpsquid:S1192,csharpsquid:S1192,Lynx:src/Lynx.Dev/Program.cs,341,Define a constant instead of using this literal '=====================================' 4 times.,4min,design
