project,key,type,severity,rule,rule_name,file,line,message,effort,tags
Foster,95df970c-7ee5-4048-86ae-d2a83a0377e3,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,1147,Make this native method private and provide a wrapper.,30min,pitfall
Foster,92143cf0-dfb6-443c-b70a-fbd1ce560aa6,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,1151,Make this native method private and provide a wrapper.,30min,pitfall
Foster,f10066fa-7683-49ab-ae09-ca68c578c76b,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,1151,P/Invoke method 'SDL_GetSilenceValueForFormat' should not be visible,0min,
Foster,66a7d05e-2d3f-4660-a788-1c62391ffb4e,CODE_SMELL,MINOR,csharpsquid:S2342,csharpsquid:S2342,Foster:Framework/Internal/SDL3.cs,1157,"Rename this enumeration to match the regular expression: '^([A-Z]{1,3}[a-z0-9]+)*([A-Z]{2})?$'.",5min,convention
Foster,ce8ee8ef-8646-4b8d-b32c-bc226706c31b,CODE_SMELL,MINOR,csharpsquid:S2342,csharpsquid:S2342,Foster:Framework/Internal/SDL3.cs,1166,"Rename this enumeration to match the regular expression: '^([A-Z]{1,3}[a-z0-9]+)*([A-Z]{2})?$'.",5min,convention
Foster,2a9f9d9a-ac46-410a-b3ae-df476a344781,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,1182,P/Invoke method 'SDL_ComposeCustomBlendMode' should not be visible,0min,
Foster,46931fec-abe9-4a09-8b66-49e396fc7594,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,1182,Make this native method private and provide a wrapper.,30min,pitfall
Foster,e34fe980-7b28-4d49-a9b6-db7a30f08c89,CODE_SMELL,MINOR,csharpsquid:S2342,csharpsquid:S2342,Foster:Framework/Internal/SDL3.cs,1186,"Rename this enumeration to match the regular expression: '^([A-Z]{1,3}[a-z0-9]+)*([A-Z]{2})?$'.",5min,convention
Foster,86f7b945-42df-44cf-8ca6-7d45ad7ccb8e,CODE_SMELL,MINOR,csharpsquid:S2342,csharpsquid:S2342,Foster:Framework/Internal/SDL3.cs,1203,"Rename this enumeration to match the regular expression: '^([A-Z]{1,3}[a-z0-9]+)*([A-Z]{2})?$'.",5min,convention
Foster,6674e8fe-d406-4515-9af1-9fb33f987ab8,CODE_SMELL,MINOR,csharpsquid:S2342,csharpsquid:S2342,Foster:Framework/Internal/SDL3.cs,1210,"Rename this enumeration to match the regular expression: '^([A-Z]{1,3}[a-z0-9]+)*([A-Z]{2})?$'.",5min,convention
Foster,2a030e29-9d20-40f2-8d72-45f7a31699e0,CODE_SMELL,MINOR,csharpsquid:S2342,csharpsquid:S2342,Foster:Framework/Internal/SDL3.cs,1223,"Rename this enumeration to match the regular expression: '^([A-Z]{1,3}[a-z0-9]+)*([A-Z]{2})?$'.",5min,convention
Foster,9f07054f-7a28-493f-a484-8fdfc47486a7,CODE_SMELL,MINOR,csharpsquid:S2342,csharpsquid:S2342,Foster:Framework/Internal/SDL3.cs,1234,"Rename this enumeration to match the regular expression: '^([A-Z]{1,3}[a-z0-9]+)*([A-Z]{2})?$'.",5min,convention
Foster,a10db843-8003-405f-99e3-25a3caa09737,CODE_SMELL,MINOR,csharpsquid:S2342,csharpsquid:S2342,Foster:Framework/Internal/SDL3.cs,1247,"Rename this enumeration to match the regular expression: '^([A-Z]{1,3}[a-z0-9]+)*([A-Z]{2})?$'.",5min,convention
Foster,b2a1745d-8dd8-440d-91dc-b689fb99367f,CODE_SMELL,INFO,external_roslyn:CA1069,external_roslyn:CA1069,Foster:Framework/Internal/SDL3.cs,1313,The enum member 'SDL_PIXELFORMAT_RGBA32' has the same constant value '376840196' as member 'SDL_PIXELFORMAT_ABGR8888',0min,
